id,question,answer
44,К какой династии принадлежала английская королева Елизавета I?,Тюдоры
45,Какой город является столицей Удмуртской республики?,Ижевск
46,Кто придумал Бременских музыкантов?,Братья Гримм
47,"Что греки называли ""водяным вором"" - клепсидрой?",Водяные часы
48,В какой стране воевали между собой в 15 веке Алая и Белая Розы?,Англия
49,В каком виде спорта был неоднократным чемпионом СССР знаменитый комментатор Николай Озеров?,Теннис
50,Какая богиня в римской мифологии соответствует греческой Деметре?,Церера
51,В какой прыжковой дисциплине выступал олимпийский чемпион Виктор Санеев?,Тройной прыжок
52,В каком регионе России находится город Майкоп?,Адыгея
53,Какому композитору принадлежит заслуга разработке додекафонии (12-тоновая техника)?,Арнольд Шёнберг
54,"Что, с точки зрения астронома, представляют собой Плеяды?",Рассеянное скопление
55,"Какая автомобильная компания прикупила автозаводы чешской ""Шкоды""?","""Фольксваген"""
56,Какой роман прославил имя Маргарет Митчелл?,"""Унесенные ветром"""
57,В какой стране проводились 1-вые зимние Олимпийские игры?,Франция
58,Как раньше назывался Стамбул?,Константинополь
59,В каком городе находится Малахов курган?,Севастополь
60,В какой стране находится историческая Родина графа Дракулы - Трансильвания?,Румыния
61,Какой язык является официальным в Австралии?,Английский
62,Какой город является административным центром американского штата Арканзас?,Литл-Рок
63,"Кем была Лайка — первая собака, отправленная в космос?",дворнягой
64,В каком канадском хоккейном клубе играл Алексей Поникаровский?,Торонто Мэйпл Лифс
65,Как теперь называется Порт-Артур?,Люйшунь
66,Какой певческий голос у Дмитрия Хворостовского?,Баритон
67,Какой обьект исследует американский космический аппарат «Оппортьюнити»?,Марс
68,"Кто снял кинофильмы про ""неуловимых мстителей""?",Эдмонд Кеосаян
69,В каком из городов СССР была пущена первая в мире атомная электростанция?,Обнинск
70,"Кто написал роман ""Призрак оперы""?",Гастон Леру
71,Внутри какой страны находится республика Сан-Марино?,Италия
72,В каком из городов находится штаб-квартира НАТО?,"Брюссель, Бельгия."
73,В каком городе установлена копия московского памятника Минину и Пожарскому?,В Нижнем Новгороде (копия московского памятника).
74,В каком виде спорта первую для России олимпийскую медаль выиграла в 2010 году Екатерина Илюхина?,Сноубординг
75,В какой стране однопалатный парламент называется стортинг?,Норвегия
76,Сыном какой страны был великий педагог И. Г. Песталоцци?,Швейцария
77,"Где действовала подпольная организация ""Молодая гвардия""?",Краснодон
78,В каком архитектурном стиле построено здание Большого театра в Москве?,Классицизм
79,Кто из пиратов плавал на корабле «Золотая лань»?,Фрэнсис Дрейк
80,"Как звали дочь Иродиады, танец которой вынудил Ирода отдать приказ обезглавить Иоанна Крестителя?",Саломея
81,"В каком городе России установлен памятник «Белому Биму», сеттеру, герою книги Гавриила Троепольского «Белый Бим – черное ухо»?",Воронеж
82,"Кто из рок-музыкантов выступал под псевдонимом ""Зигги - звезная пыль""?",Дэвид Боуи
83,Какой город является столицей Лесото?,Масеру
84,Какой архитектор был автором проекта Храма Христа Спасителя?,К. А. Тон
85,Откуда вытекает река Нева?,Из Ладожского озера
86,как звали собаку билла клинтона,бадди
87,"Кем был американец Джозеф Глидден, получивший в 1874 году патент на изобретение колючей проволоки?",фермером
88,Какой стиль сменила эпоха Возрождения?,готика
89,Где находится мост Александра III?,Париж
90,В какой стране находится стадион «Маракана»?,Бразилия
91,Кто написал роман «Триумфальная арка»?,Эрих Мария Ремарк
92,Кто написал картину «Черный квадрат»?,Казимир Северинович Малевич
93,Кто написал картину «Сикстинская Мадонна»?,Рафаэль Санти
94,В каком городе Бразилии родился Пеле?,Трес-Корасойнс
95,"На каком стадионе, 1 июля в Киеве, прошёл финальный матч чемпионата Европы по футболу 2012 года?",Олимпийский
96,"В каком городе проводился фестиваль ""Рок над Волгой""?",Самара
97,Как зовут дочь основательницы Кондиды Когтевран?,Елена Когтевран
98,Кто написал повесть «Джон Ячменное Зерно»?,Джек Лондон
99,"На какой киностудии снят фильм ""Место встречи изменить нельзя""",Одесская киностудия
100,При какой династии были совершены знаменитые мореплавания Чжэн Хэ?,Мин
101,При каком российском монархе возник Государственный Музей Эрмитаж?,Екатерина II
102,В каком старинном городе находится мужской Старо-Голутвин монастырь?,Коломна
103,Какая форма правления установлена в Швейцарии?,Федеративная республика
104,Где в настоящее время находится историческая область Ширван?,Азербайджан
105,Какой период в истории Японии следовал сразу после периода Хэйан?,Камакура
106,Кем был по происхождению Емельян Пугачев?,Казак
107,Кто был режиссёром советской версии телесериала о Шерлоке Холмсе?,Игорь Масленников
108,Как настоящее имя известного итальянского певца Тото Кутуньо?,Сальваторе
109,Когда отмечается День народного единства?,4 ноября
110,Кем является Лео Антонович Бокерия?,Кардиохирургом
111,Кем изначально по специальности был Френсис Крик - первооткрыватель (вместе с Дж. Уотсоном) спирали ДНК?,физик
112,Какой город является столицей Исландии?,Рейкьявик
113,В каком городе родился Плутарх?,Херонея
114,"В каком ""рукаве"" Млечного Пути находится Солнечная система?",Рукав Ориона
115,Какой город является административным центром Приморского края?,Владивосток
116,"В какой науке достиг значительных высот Джон Дальтон, именем которого названо заболевание дальтонизм?",Химия
117,Где родился художник И. Репин?,Чугуев
118,"Кто автор культового романа ""Пролетая над гнездом кукушки""?",К. Кизи
119,"Кто из австралийских писателей является автором книги «Ковчег Шиндлера», по которой был поставлен оскароносный фильм?",Томас Кенилли
120,Какая страна выпускает самолеты марки Embraer?,Бразилия
121,"Какой режиссер поставил кинофильм ""Республика ШКИД""?",Геннадий Полока
122,Кто автор романа «В круге первом»?,Александр Солженицын
123,В каком виде спорта Елена Петушкова завоевала Олимпийскую золотую медаль?,Выездка
124,"Кто написал роман и одноименную пьесу ""Дама с камелиями""?",Александр Дюма-сын
125,В какой группе пел Джим Моррисон?,The Doors
126,Как зовут единственную дочь Элвиса Пресли?,Лиза Мария
127,Где было построено одно из чудес света - Фаросский (Александрийский) маяк?,Египет
128,"В каком польском городе происходит действие кинофильма Стивена Спилберга ""Список Шиндлера""?",Краков
129,"Кто автор музыки, звучащей в телесериале «Мастер и Маргарита» режиссера В. Бортко?",Игорь Корнелюк
130,"Какой рок-группе принадлежит авторство известной композиции: ""Все это рок-н-ролл""?",Алиса
131,"В каком городе находится памятник ""Тысячелетие России"" скульпторов Микешина и Шредера?",Великий Новгрод
132,Какой город является столицей государства Папуа - Новая Гвинея?,Порт-Морсби
133,"Кто автор популярнейшей украинской песни ""Червона рута""?",Владимир Ивасюк
134,"Кто написал трактат ""Поэтика""?",Аристотель
135,В какой стране расположен знаменитый римский акведук Пон-дю-Гар?,Франция
136,"Кто является автором ""Композиции VI""?",Василий Кандинский
137,Какой римский император написал философское сочинение «Наедине с собой»?,Марк Аврелий
138,"Кто автор пьесы ""Средство Макропулоса""?",Карел Чапек
139,Какой стране принадлежит остров Ибица,Испания
140,Какой голос имел певец Хворостовский,Баритон
141,Какой язык является оффициальным в Бразилии,Португальский
142,Из какой страны группа АББА,Швеция
143,Какой стране принадлежит черноморский остров Змеиный?,Украина
144,Какая страна считает себя родиной картофеля фри?,Бельгия
145,Кто автор пьесы «Свадьба Кречинского»?,Сухово-Кобылин
146,В каком городе родился Карл Маркс?,Трир
147,В каком городе умерла святая покровительница Беларуси Евфросинья Полоцкая?,Иерусалим
148,"Кто в 2013 году стал первым президентом Чехии, избранным путём всенародных выборов?",Милош Земан
149,В какой стране расположен вулкан Гарибальди?,Канада
150,Какой минерал является основной составляющей частью известняка?,Кальцит
151,Какое событие в истории США послужило основой сюжета романа Стивена Кинга «11/22/63»?,Убийство Дж. Ф. Кеннеди
152,Какой художник является автором картин «Желтый Христос» и «Зелёный Христос»?,Поль Гоген
153,В каком городе находится штаб-квартира международной организации Интерпол?,Лион
154,Кем по профессии является София Губайдулина?,Композитор
155,Какую премию получила Барбара Брыльска за исполнение роли Нади Шевелёвой?,Госпремия СССР
156,Кто является автором пьесы о легендарном античном мизантропе «Жизнь Тимона Афинского»?,Уильям Шекспир
157,"В каком городе находился Храм Артемиды, один из Семи чудес античности?",Эфес
158,В каком городе была сожжена Жанна Д'арк?,Руан
159,В каком городе Самарской области расположен автомобильный завод гигант - ВАЗ?,Тольятти
160,"В какой азиатской стране находится достопримечательность, называемая ""шоколадные холмы""?",филиппины
161,В каком государстве Южной Америки находится озеро-залив Маракайбо?,венесуэла
162,В какой европейской стране зародилось телешоу The Voice («Голос»)?,нидерланды
163,"Какова основная валюта, циркулирующая в Израиле?",шекель
164,Какая страна на её официальном языке называется «Republika e Shqipërisë»?,албания
165,Кем был Леон Бакст?,Художником
166,Как называется самая высокая гора Украины,говерла
167,Кто написал знаменитый марш «Прощание славянки»?,агапкин
168,Когда отмечают в России православный праздник Медовый Спас?,14 августа
169,"Где находится городок Типперери, упомянутый в названии знаменитой маршевой песни британской армии «It's a long way to Tipperary»?",В Ирландии
170,Кто был подлинным изобретателем телефона?,меуччи
171,В какой стране располагалось ныне пересохшее озеро Поопо?,боливия
172,Чем является бордоская жидкость?,Фунгицидом
173,В какой столице можно посетить Гугун — императорский дворец в Запретном городе?,пекин
174,Кто является режиссёром советского кинофильма «Подкидыш»?,Татьяна Лукашевич
175,В каком городе находится гробница пророка Мухаммеда?,Медина
176,Сколько музыкантов в квартете?,четыре
177,В каком виде спорта используется сицилианская защита?,Шахматы
178,Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,Красные бригады
179,"В какой город нужно отправиться, чтобы увидеть «Сикстинскую Мадонну» Рафаэля?",Дрезден
180,Какой танец исполняют под мелодию «Кумпарситы»?,Танго
181,В каком административном регионе находится город Ливорно?,Тоскана
182,"Кто автор пьесы, сюжет которой лёг в основу оперы Дж. Пуччини «Турандот»?",К. Гоцци
183,В какой стране закончил свою жизнь великий русский шахматист Александр Алехин?,Португалия
184,"Какой драматург, который был старше Чарли Чаплина всего на полгода, стал последним тестем великого комика?",Юджин О’Нил
185,"К какой династии до замужества принадлежала королева Марго, героиня романа А. Дюма?",валуа
186,Ветви какой королевской династии правят в Дании и Норвегии?,Глюксбурги
187,Какая форма государственного правления Сан-Марино?,Республика
188,Что создал выходец из России Давид Сарнов?,NBC
189,Кто был первым лауреатом Нобелевской премии по физике?,Рентген
190,Где родилась певица Шакира?,В Колумбии
191,"Маршалом каких войск был Иван Николаевич Кожедуб, трижды Герой Советского Союза?",Авиации
192,Какая страна участвовала в вооруженном конфликте 1982 года с Великобританией из за Фолклендских островов?,Аргентина
193,Чьё произведение легло в основу гимна футбольной Лиги чемпионов?,Генделя «Садок-Священник»
194,Что входит в состав любого органического вещества?,Углерод
195,"Какую страну раньше называли ""Абиссинией""?",Эфиопия
196,"Кто исполнил роль агента Кея в к/ф ""Люди в черном""?",Т. Л. Джонс
197,"С какой страной Бразилия ""делит"" водопад Игуасу?",С Аргентиной
198,Кто был сыном бога солнца Гелиоса и океаниды Климены?,Фаэтон
199,"На каком языке, по мнению большинства, написан Новый Завет?",Древнегреческий
200,Кто был сыном горгоны Медузы?,Пегас
201,Кто сыграл Тосю Кислицыну в фильме «Девчата»?,Надежда Румянцева
202,Как звучит полное имя Ди Каприо?,Леонардо Вильгельм
203,"Как называется исторический период, разделяющий Средневековье и новейшее время?",Новое время
204,Какая группа снялась в фильме Ричарда Лестера «Вечер трудного дня»?,«Битлз»
205,Кто в 2016 году стал обладателем Нобелевской премии по литературе?,Боб Дилан
206,Кто был соавтором С. В. Михалкова в написании текста гимна Советского Союза?,Эль-Регистан
207,Какой голос у великого Лучано Паваротти?,Тенор
208,"Какой поэт написал слова к бродвейскому мюзиклу ""Cats"" Эндрю Веббера",Элиот
209,Как по-другому называют койота?,Луговой волк
210,Каким было полное имя набоковской Лолиты?,Долорес
211,"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""?","""Союз-19"""
212,Как называют сестру мужа?,Золовка
213,В какой стране долгие годы правил диктатор Салазар?,Португалия
214,"Какой металл, кроме меди, присутствует в мельхиоровой посуде?",Никель
215,К какой группе инструментов относится старинный русский музыкальный инструмент гудок?,К струнным смычковым
216,В какой стране вы будете расплачиваться за покупки донгами?,Вьетнам
217,"Где, главным образом, живут шерпы?",В Гималаях
218,Какая страна - родина бейсбола?,Англия
219,Как называется выдача преступника одним государством другому для суда или отбывания наказания по уже состоявшемуся решению суда?,Экстрадиция
220,В каком городе находится штаб-квартира Microsoft?,"г. Редмонд (пригород г. Сиэтл), штат Вашингтон, США."
221,"Как звучит название политической разведки Израиля, по своему назначению и функциям сравнимой с американским ЦРУ?",Моссад
222,Какой класс животных называют рептилиями?,пресмыкающиеся
223,Где снимался фильм Звягинцева «Левиафан»?,Мурманская область
224,В какой стране находится город Александрия?,Египет
225,"В какой стране происходит действие романа Александра Беляева ""Человек-амфибия""?",Аргентина
226,В какой стране находится самый высокий водопад в мире?,Венесуэла
227,Какой тембр голоса у Пласидо Доминго?,Тенор
228,Где находится город Новый Афон?,Абхазия
229,В какой стране зародился театр теней?,в Китае
230,Как звали итальянского композитора Леонкавалло?,Руджеро
231,Как звали персонажа Киану Ривза в трилогии «Матрица»?,Андерсон
232,В каком городе умер А. П. Чехов?,Баденвайлер
233,Какая актриса была замужем за Люком Бессоном?,Мила Йовович
234,К какой системе органов у многоклеточных организмов относятся гонопоры?,репродуктивный
235,"В каком селе Тверской области ежегодно, начиная с 2008 года, проходит крупнейший в СНГ рок-фестиваль «Нашествие»?",большое завидово
236,В каком подмосковном городе находится Ново-Иерусалимский монастырь?,истра
237,Сколько спутников у Марса?,2
238,В каком году родился Иммануил Кант?,1724
239,Кто старше Гарри Поттер или Рон Уизли?,Рон
240,Какая самая крупнейшая пустыня в мире?,Сахара
241,Какое «одно только слово» твердил Айболит по дороге к больным африканским зверям?,Лимпопо
242,Кем был по основной специальности гоголевский Вакула?,Кузнец
243,Где держит скотину крестьянин?,В хлеву
244,Собаку какой породы прославил Э. Сетон-Томпсон в книге 'Животные-герои'?,Бультерьер
245,Какое основное сырье используется в работе атомных электростанций?,Уран
246,Как звали 3-х головую собаку?,Пушок
247,На какой реке встретились в 1945 году советские и американские солдаты?,Эльба
248,Какая графа паспорта гражданина СССР была упразднена?,Национальность
249,Пистолет какой системы использовал обычно Джеймс Бонд?,"""Вальтер"""
250,"Ученым какой профессии посвящен фильм Михаила Ромма ""9 дней одного года""?",Физика
251,Что приводит в движение самолеты с поршневыми двигателями?,Пропеллер
252,Что чаще всего подают к рюмке коньяка?,Ломтик лимона
253,В каком городе проживал Александр Иванович Корейко?,Черноморск
254,"Где находится Музей молока, основанный в 80-х годах прошлого столетия?",Каунас
255,Как звали злую сестру доктора Айболита в сказке Корнея Чуковского?,Варвара
256,"Какая неотъемлемая часть любой современной оперы впервые появилась в опере ""Орфей"" в 1607 году?",увертюра
257,Какая приправа в Англии XII века ценилась дороже золота?,перец
258,Каким методом получается из каучука резина?,вулканизацией
259,Какое дерево имеет цветки с самым сладким нектаром (75–80% сахара)?,яблоня
260,"Какое имя переводится с еврейского словом ""лилия""?",Сусанна
261,"Какое техническое приспособление предоставил герой романа Марка Твена ""Янки при дворе короля Артура"" легендарным рыцарям?",велосипед
262,Какой бодрящий напиток любят пить в России во время застолья?,водку
263,Какой документ выдают выпускнику ВУЗа?,диплом
264,Какой художник нарисовал символ мира – голубя с оливковой ветвью?,Пикассо
265,Кто был главным врагом Чебурашки?,Шапокляк
266,Кто сидит рядом с водителем спортивного автомобиля во время ралли?,штурман
267,Кто славился длинным носом?,Бержерак
268,"Кто произносил перед выступлением слова: ""Идущие на смерть приветствуют тебя""?",гладиатор
269,Чем выплачивались дивиденды акционерам Ост-Индийской компании до 1644 года?,пряностями
270,Чем можно разгружать вагон с людьми?,грабли
271,"Какой самый грозный речной хищник живет до 40, а иногда до 100 лет?",крокодил
272,"Какой ударный инструмент звучит на ринге, возвещая начало или конец раунда?",гонг
273,Какой французский поэт семнадцатого века изобрел семь способов полета на Луну?,Сирано де Бержерак
274,"Какое событие время от времени происходит в комнате ""с ключом""?",конклав
275,"Кого охраняли в кабинете N 67 под вывеской ""классная дама""?",Ленина в Смольном
276,В каком певце скрываются вопли добрых волшебниц,Орфей
277,Кто придумал дорожные чеки?,Роберт Кук
278,Какой показатель для воды при 20°С равен 81?,Диэлектрическая проницаемость
279,"Кто был ведущим ""Битвы экстрасенсов"" до Марата Башарова?",Михаил Пореченков
280,Что дают в магазине на новый утюг?,гарантию
281,Что должно быть в буриме?,рифма
282,Когда в СССР было отменено раздельное обучение мальчиков и девочек?,в 1954 году
283,В какой комнате проживает Мойдодыр?,Спальня
284,В каком городе находится основная база ВМС ЮАР?,Саймонстаун
285,"Какого цвета, по словам Рошфора, была лошадь д'Артаньяна?",ярко-желтого
286,Сколько колес у мотоцикла с коляской?,3
287,Какая лунная низменность находится на обратной стороне Луны?,море москвы
288,Кто из спортсменов порой прибегает к «обезьяньей игре»?,шахматы
289,Чьё изобретение стало прообразом детали обыкновенной ручной мясорубки?,архимед
290,Какой неметалл встречается в природе в самородном виде?,сера
291,Какая картина получила шутливое прозвище «Рембрандт на вынос»?,«Портрет Якоба де Гейна ІІІ
292,Какой шведский хоккейный клуб прервал 13-летнюю победную серию московского ЦСКА в Кубке Европы?,«Юргорден»
293,"Как, согласно этикету, нужно есть хинкали?",руками
294,Какая птица в геральдике является символом бдительности?,журавль
295,Как назывался третий круг ада Данте из Божественной комедии?,чревоугодие
296,Какая политическая партия ЮАР представляет в основном этнических зулу?,инката
297,Какое минимальное число игроков команды на футбольном поле допустимо при продолжении игры?,7
298,Когда появился первый компьютер?,В 1938 году
299,Какое хождение описано в известном романе Алексея Толстого?,По мукам
300,"Какое звание получил Гринёв в Белогородской крепости в ,,Капитанской дочке,,?",Прапорщик
301,В какой лиге играет ЦСКА?,"Лига чемпионов УЕФА, Кубок России по футболу, Российская Премьер-Лига"
302,Какие национальности в США?,"американцы США, немцы, шведы"
303,Какой пост занимает Матвиенко?,Председатель верхней палаты парламента
304,Кто участвовал в 1 мировой войне?,"США, Канада, Османская империя, Австралия, Австро-Венгрия, Бразилия, Бельгия, Британская империя, Таиланд, Германская империя, Финляндия, Российская империя, Горская республика, Герцогство Курляндское и Земгальское, Российская республика, Третья Французская республика, Украинская народная республика, Грузинская демократическая республика, Королевство Литва, Кубанская народная республика, Японская империя, Китайская Республика, Королевство Италия, Южно-Африканский союз, Королевство Венгрия, Королевство Румыния, Королевство Сербия, Белорусская народная республика, Третье Болгарское царство, Азербайджанская Демократическая Республика, Королевство Черногория, Джебель-Шаммар, Хиджаз, Государство дервишей, Украинская держава, Первая Португальская республика, Ньюфаундленд, Балтийское герцогство, Крымское краевое правительство, Всевеликое войско Донское, Дарфурский султанат, Доминион Новая Зеландия, Королевство Греция, Королевство Польское"
305,На каком озере находится Валаам?,Ладожского озера
306,Притоком какой реки является Намана?,Лены
307,В какой лиге играет Анжи?,Российская Премьер-Лига
308,В какой части света находится Люксембург?,в Западной Европе
309,Где находится штаб-квартира Интерпола?,Лион
310,Какой архитектурный стиль здания МГУ?,"Сталинский ампир, Нарышкинский стиль"
311,Кто дочь Алсу?,"Микелла Абрамова, Сафина Яновна Абрамова"
312,Столица какой страны Люксембург?,Люксембург
313,В каких лигах играет Барселона?,"Лига чемпионов УЕФА, Ла Лига, Лига Испании по футболу"
314,В какой стране живут герои сказки Маугли?,Индии
315,Где погребен Микеланджело?,Санта-Кроче
316,Где родилась Цветаева?,Москва
317,Где учился Ломоносов?,"Марбургский университет, Санкт-Петербургский государственный университет, Славяно-Греко-Латинская академия,Национальный университет «Киево-Могилянская академия"
318,За какую команду играет Акинфеев?,ЦСКА
319,К какому жанру относится игра Far Cry New Dawn?,шутер от первого лица
320,Какие группы исполняли песни к фильму Брат?,Nautilus Pompilius
321,Какие платформы поддерживает Роблокс?,"iOS,Mac,Xbox One,PC,и Oculus Rift"
322,Кто дочь Шойгу?,Юлия Шойгу
323,Кто написал Винни Пуха?,"Алан Александр Милн, Элизабетт Гноун"
324,Кто основал компанию Форд?,Генри Форд
325,Кто режиссер сериала Сваты?,"Андрей Яковлев, Эдуард Радзюкевич, Владимир Зеленский"
326,Кто отец Дмитрия Борисова?,"Бак, Дмитрий Петрович"
327,Кто участвовал в Ледовом побоище?,"Тевтонский орден, Новгородская республика, Дания"
328,На каких платформах выйдет Death Stranding?,"PlayStation 4, Windows"
329,В какой части света находится Турция?,Европа
330,На каком озере стоят деревянные церкви острова Кижи?,Онежское озеро
331,С кем в браке Настя Каменских?,Потап
332,В какой команде играет Месси?,Барселона
333,В какой стране основана компания Samsung?,Южная Корея
334,В какой команде играет Роналдо?,Ювентус
335,Где похоронен Калашников Михаил Тимофеевич?,Федеральное военное мемориальное кладбище
336,Где родилась Юлия Началова?,Воронеж
337,За кого играет Неймар?,Пари Сен-Жермен
338,Из какой династии был Иван Грозный?,Рюриковичи
339,К какому направлению относят произведения Макса Бекмана?,"новая вещественность, экспрессионизм"
340,Какая компания производит автомобиль Mustang?,Ford Motor Company
341,Какая компания сняла Пираты карибского моря?,"The Walt Disney Company, Jerry Bruckheimer Productions, Walt Disney Pictures, Second Mate Productions"
342,Какая столица в Венгрии?,Будапешт
343,Какой вуз окончил Александр Володин?,ВГИК
344,Какой национальности Путин Владимир Владимирович?,русский
345,Какой национальности Хабиб Нурмагомедов?,аварец
346,Какой тембр голоса у Фредди Меркьюри?,Баритон
347,Какой университет окончил Гранин?,Санкт-Петербургский Политехнический Университет Петра Великого
348,Компания разработчик Консультант Плюс?,КонсультантПлюс
349,Кто дочь Этери Тутберидзе?,Диана Дэвис
350,Кто папа Децла?,Александр Яковлевич Толмацкий
351,Кто по профессии был Иисус Христос?,плотник
352,Кто является автором песни про царя Ивана Васильевича молодого опричника и удалого купца Калашникова?,Лермонтов Михаил
353,Куда впадает река Амазонка?,Атлантический океан
354,Куда впадает река Нева?,"Финский залив, Невская губа"
355,Куда впадает река Нил?,Средиземное море
356,Куда впадает река Обь?,"Обская губа, Карское море"
357,На каких островах находится Гонолулу?,Оаху
358,На какой позиции играет Месси?,Нападающий
359,На какой реке стоит Хабаровск?,Амур
360,На каком кладбище похоронен Децл?,"Пятницкое кладбище, Москва"
361,На чем играл Ростропович?,виолончель
362,Столица какой страны город Лиссабон?,Португалия
363,Столицей какой страны является Дакар?,Сенегала
364,Столицей какой страны является Куала-Лумпур?,Малайзии
365,Чьим притоком является река Мозель?,Рейн
366,Где захоронен Борис Годунов?,"Свято-Троицкая Сергиева Лавра, Сергиев Посад"
367,К какой епархии относится Валаамский монастырь?,Выборгская и Финляндская епархия
368,К какому архитектурному стилю относится Каменецкая башня?,к типу волынских
369,Какое административное деление в Польше?,"страна делится на воеводства (wojewodztwo), воеводства - на повяты (powiat), повяты - на гмины (gmina). В 1999 году введено новое административное деление. Теперь в Польше 16 воеводств, ~300 повятов, и 2489 гмин"
370,Какое административное устройство Китая?,"В конституции КНР предусмотрено трёхступенчатое административное деление: провинция, уезд (город), волость (поселок). Однако в реальности существуют ещё два уровня: округ (между провинцией и уездом) и деревня (ниже волости)"
371,Какое административное устройство США?,федерация
372,Какой титул у Атоса?,Королева-консорт
373,Кто изготавливает айфоны?,Китай
374,Кто брат Селены?,Эос
375,От чего скончался Кит Флинт?,Самоубийство
376,Чей фильм Чернобыль 2019?,Производство США и Великобритании
377,Что окончил Тургенев?,Петербургский университет
378,Чьим притоком является Нижняя Тунгуска?,р. Кочечум
379,Где гробница Мухаммеда?,"Зелёный купол, Медина, Саудовская Аравия"
380,Где играет Ковальчук?,Черноморец
381,Какая киностудия снимает фильмы Марвел?,"Marvel Studios, LLC"
382,Какая причина смерти Веры Глаголевой?,рак желудка
383,Какое административное устройство Испании?,автономное сообщество
384,Какой медалью был награжден Дмитрий Ларин?,Золотая звезда
385,Какую премию получил Бунин?,Нобелевской премии
386,Кто основал компанию Фольксваген?,Германский трудовой фронт
387,Кто проектировал американскую статую Свободы?,"Фредерик Огюст Бартольди, Ричард Моррис Хант"
388,Кто режиссер фильма Изгой?,Роберт Земекис
389,Кто режиссер фильма Один дома?,Крис Коламбус
390,Кто сочинил гимн России?,Сергей Владимирович Михалков
391,Чьим притоком является Псекупс?,Реки Кубань
392,В какой стране зародился танец танго?,Аргентина
393,В каком жанре работал Исаак Оливер придворный художник Анны Датской?,Портрет
394,В каком море находится Мальта?,Средиземного моря
395,Где учился Лермонтов?,Московский государственный университет имени М.В.Ломоносова
396,Кто написал песню День Победы?,"Давид Фёдорович Тухманов, Владимир Гаврилович Харитонов"
397,В каком государстве находится самый первый университет в мире?,Болонский университет в Италии
398,В каком жанре работал римский поэт Марциал?,Эпиграмма
399,Кто сочинил симфонию Героическую?,Бетховен
400,На каком континенте находится Марокко?,Африка
401,Чьё имя носит Московская государственная консерватория?,П. И. Чайковского
402,В каком городе живут герои сериала Друзья?,Нью-Йорке
403,В каком стиле построен Большой театр в Москве?,Неоклассическая архитектура
404,В каком стиле построен Казанский Собор Санкт-Петербурга?,Ампир
405,В каком стиле строил Гауди?,Модерн
406,В каком стиле строил Джакомо Кваренги?,Классицизм
407,Где была сформирована 272 стрелковая дивизия?,в районе Тихвина
408,Какая платформа у айфона?,iOS
409,Какой вуз окончил Зеленский?,Криворожский экономический институт Киевского национального экономического университета
410,Какой город столица штата Калифорния?,Сакраменто
